matchId;robotId;playerId;team;goals;kicks;tOwnField;tOppField;tPosession;tOwnGoal;tOppGoal;dBall;dCenter;dOwnGoal;dOppGoal;dTotal;dMinTeammate;dMinOpponent;tRegionA;tRegionB;tRegionC;tRegionD;tRegionE
2;15;0;teamsSoccerbots.AIKHomoG;0;0;29680.0;0.0;0.0;29680.0;0.0;2.061755720845118;1.3673271116340056;0.11181714496795749;2.8137588830815434;2.4895174432226175;1.0943178603790074;1.3650120901454037;0.0;0.0;0.0;0.0;29680.0
2;14;4;teamsSoccerbots.AIKHomoG;1;3;3312.1244151596775;26367.875584840323;5200.0;0.0;31.302230131887242;0.7350338673284884;0.9122811816230035;2.2825239359183143;0.7250179623787938;5.423362306073269;0.5272277250501125;0.3506362120446252;18111.08657107129;5195.233525875662;6373.679903053049;0.0;0.0
2;13;3;teamsSoccerbots.AIKHomoG;0;1;19315.488820702714;10364.511179297286;8400.0;0.0;0.0;1.0245402228710059;0.5611006561900955;1.28586583152281;1.7294810892003836;6.114044620410064;0.7356383971634194;0.4985125493797;0.0;2713.498268099468;11079.238374518696;15887.263357381833;0.0
2;12;2;teamsSoccerbots.AIKHomoG;2;5;6101.370752129402;23578.629247870595;10080.0;0.0;2043.4702134835284;0.4429338802602829;0.8151201153173276;2.095202617698547;1.0203777565456722;9.675632407281135;0.6067798768017495;0.23470293002216244;10490.116633708418;7329.886379178125;11859.996987113456;0.0;0.0
2;11;1;teamsSoccerbots.AIKHomoG;0;0;13455.306538556;16224.693461444;0.0;0.0;7.754330687213647;1.2394939253978918;0.8519306565188814;1.7805172790725345;1.2077855371321102;4.110280799152672;0.6099032035072512;0.49769313679427013;13405.973474783514;1880.2731990525392;1864.8962874918939;12528.857038672053;0.0
2;10;0;Equipo.ElPayoVallecano;0;0;29680.0;0.0;0.0;15295.278658243391;0.0;0.6868174719578644;1.256268407310254;0.523926541797554;2.6433313707140345;7.703543499143287;0.38678232824886916;0.5045878438147224;23239.60443243339;6440.39556756661;0.0;0.0;0.0
2;9;4;Equipo.ElPayoVallecano;0;0;22739.207097084756;6940.792902915246;3160.0;1704.2995753240448;0.0;0.7073764090356487;0.6888050958866035;1.2717186812340562;1.8091624652703624;13.294222319882063;0.44934867174352505;0.35710095548440385;5774.041043030097;4330.202583325203;16058.494848232956;3517.2615254117445;0.0
2;8;3;Equipo.ElPayoVallecano;0;0;22044.141413872527;7635.858586127472;0.0;0.0;0.0;0.7697065790663586;0.29441903397461244;1.373374175628615;1.5809201246607691;13.341474623187171;0.5541923493778086;0.3515833473294467;0.0;4162.630175668602;25517.3698243314;0.0;0.0
2;7;2;Equipo.ElPayoVallecano;0;0;29680.0;0.0;1120.0;308.46359483028976;0.0;1.0236136327208243;1.1889219877469233;0.7911890584017472;2.5180073187403207;5.575494659370617;0.7974705487956093;0.3871329034120618;18243.954121484345;7784.300608976259;3651.745269539396;0.0;0.0
2;6;1;Equipo.ElPayoVallecano;0;0;29680.0;0.0;7280.0;6467.3803692317015;0.0;0.5190295623064659;1.0207062022448774;0.7393628405954861;2.370786371016999;8.888278079571553;0.33767720050176037;0.2996712921426201;15525.963014877461;13689.455042407993;464.58194271454323;0.0;0.0
