matchId;robotId;playerId;team;goals;kicks;tOwnField;tOppField;tPosession;tOwnGoal;tOppGoal;dBall;dCenter;dOwnGoal;dOppGoal;dTotal;dMinTeammate;dMinOpponent;tRegionA;tRegionB;tRegionC;tRegionD;tRegionE
1;15;0;Equipo.ElPayoVallecano;0;0;29982.0;0.0;0.0;18235.05760508238;0.0;0.8616542338414179;1.2330574586061405;0.37480321851777143;2.604796415729191;5.5398395626236985;0.25694306709810855;0.33135037183365584;0.0;0.0;0.0;0.0;29982.0
1;14;4;Equipo.ElPayoVallecano;0;0;24874.891720356452;5107.108279643546;8160.0;0.0;0.0;0.5004082899127117;0.6919602505660593;1.1297741776112935;1.8534402985752858;11.144520145673848;0.4859851615121941;0.24667727110348348;0.0;2841.952010311147;8204.794229964418;14372.55579439595;4562.697965328486
1;13;3;Equipo.ElPayoVallecano;0;2;20975.46096718554;9006.539032814462;2040.0;0.0;0.0;0.7742698208059784;0.4224785935227725;1.2550025423537168;1.6130692186267097;14.35805224017426;0.5528955491121414;0.2779263161545113;0.0;2185.20740499577;17874.295272348758;7743.394559181662;2179.1027634738107
1;12;2;Equipo.ElPayoVallecano;0;0;540.0980782528634;29441.901921747136;0.0;0.0;0.0;1.988845847879361;1.3439575789531468;2.6562230161565674;0.6360651390333857;1.812199476066864;1.435749043448626;0.5437115945436835;26004.625157559993;2525.569355019175;1451.8054874208322;0.0;0.0
1;11;1;Equipo.ElPayoVallecano;0;0;29982.0;0.0;402.0;19786.167458355336;0.0;0.8166942764178732;1.1895479092959464;0.32029870626758766;2.5740314743280552;9.433712189868318;0.25261781044986026;0.2407957283650775;0.0;0.0;0.0;2134.371511733185;27847.628488266815
1;10;0;teamsSoccerbots.AIKHomoG;0;0;29982.0;0.0;0.0;29982.0;0.0;1.9439578724530855;1.3181023306965571;0.11644242762457314;2.710046362326696;2.8098094170123273;1.1806880479457984;0.6233253115919335;29982.0;0.0;0.0;0.0;0.0
1;9;4;teamsSoccerbots.AIKHomoG;0;0;1428.1122194905524;28553.887780509445;12750.0;0.0;0.0;0.5343323985082992;0.8722592293427711;2.1380992417318008;0.8609447723032041;6.028144462254101;0.5030595122442353;0.2233306197654883;0.0;0.0;5284.5303898515795;12813.191498338236;11884.278111810187
1;8;3;teamsSoccerbots.AIKHomoG;0;1;498.9337430278658;29483.066256972135;1020.0;0.0;3418.487321453031;0.7656652566344612;1.0129936186034956;2.382896918468352;0.5328906755784947;5.327178863380437;0.4023991247889567;0.3010956478374065;0.0;0.0;1456.830485032978;5009.790049533455;23515.379465433565
1;7;2;teamsSoccerbots.AIKHomoG;0;1;695.7068823205019;29286.2931176795;8052.0;0.0;1827.1015703550156;0.8549653286600102;1.0660978009423085;2.4097982074002524;0.5760848045570595;6.523790976057405;0.4682131060746732;0.35798841855365926;0.0;0.0;1621.7059625040379;4055.105036245258;24305.1890012507
1;6;1;teamsSoccerbots.AIKHomoG;0;1;21441.590601708536;8540.409398291464;5100.0;0.0;0.0;0.8666072125244386;0.4194778569133736;1.2642877920622073;1.5889382154683924;7.219762151665618;0.8172362117875435;0.39608590463996146;0.0;11832.731196324812;15096.784296195825;3052.4845074793634;0.0
