team;matchId;westteam;eastteam;scorewest;scoreeast;matchtime;kicks;tOwnField;tOppField;tPosession;tOwnGoal;tOppGoal;dBall;dCenter;dOwnGoal;dOppGoal;dTotal;dMinTeammate;dMinOpponent;tFirstGoalReceived;goalsFor;goalsAgainst;tBallRegionA;tBallRegionB;tBallRegionC;tBallRegionD;tBallRegionE;tRegionA;tRegionB;tRegionC;tRegionD;tRegionE
teamsSoccerbots.AIKHomoG;0;teamsSoccerbots.AIKHomoG;Equipo.ElPayoVallecano;2;0;29568.0;7;15290.016546298744;14277.983453701256;26664.0;5913.6;305.4924616715226;1.013806252455905;0.8812780664545071;1.46659659900916;1.4822043126717777;5.283312397878248;0.6967808282022119;0.4779400986308244;0.0;2;0;0.0;0.0;16849.501785199882;3677.760466256821;9233.725687522296;5913.6;5908.169120177551;6675.805650924408;2411.3592382691886;8659.065990628853
teamsSoccerbots.AIKHomoG;1;teamsSoccerbots.AIKHomoG;Equipo.ElPayoVallecano;1;0;29982.0;3;10809.26868930949;19172.73131069051;26922.0;5996.4;1049.1177783616095;0.9931056137560589;0.9377861672997012;1.6623049174574374;1.2537809660467694;5.581737174073977;0.6743192005682414;0.3803651804776898;0.0;1;0;0.0;2757.655479380519;6610.214425324781;9204.838868189547;10874.09796486912;5996.4;2366.5462392649624;4691.970226716884;4986.114218319262;11940.96931569889
teamsSoccerbots.AIKHomoG;2;Equipo.ElPayoVallecano;teamsSoccerbots.AIKHomoG;0;3;29680.0;9;14372.858105309559;15307.141894690441;23680.0;5936.0;416.50535486052587;1.1007515233405576;0.9015519442566626;1.5111853618360327;1.4992842456677007;5.5625675152279515;0.714773412580308;0.5893113836772323;0.0;3;0;9836.711044047497;8104.944639600026;12199.94856042604;0.0;0.0;8401.435335912643;3423.778274441159;6235.562310435419;5683.224079210777;5936.0
teamsSoccerbots.AIKHomoG;3;Equipo.ElPayoVallecano;teamsSoccerbots.AIKHomoG;0;3;29700.0;6;15934.717210641804;13765.282789358194;22104.0;4903.085390689741;525.4502785221358;1.0198579273379322;0.8414402273006683;1.4479651092930486;1.5416626832104314;7.231128776758611;0.6530599356809323;0.5487855186441531;0.0;3;0;13802.973714076456;7062.123894205246;7343.864095664973;1871.8490154333817;677.251621686082;6851.862040509173;4363.995125053557;5018.365948116336;8211.092242438604;5254.6846438823295

